Domain,Type,Sponsoring Organisation,Date
.credit,generic,"Snow Shadow, LLC",2024-07-02
.creditcard,generic,"Binky Frostbite, LLC",2024-07-02
.cricket,generic,dot Cricket Limited,2024-07-02
.crs,generic,Federated Co-operatives Limited,2024-07-02
.cruises,generic,"Spring Way, LLC",2024-07-02
.cuisinella,generic,SALM S.A.S.,2024-07-02
.cymru,generic,Nominet UK,2024-07-02
.cyou,generic,"Beijing Gamease Age Digital Technology Co., Ltd.",2024-07-02
.dabur,generic,Dabur India Limited,2024-07-02
.dad,generic,Charleston Road Registry Inc.,2024-07-02
.dance,generic,United TLD Holdco Ltd.,2024-07-02
.date,generic,dot Date Limited,2024-07-02
.dating,generic,"Pine Fest, LLC",2024-07-02
.datsun,generic,"NISSAN MOTOR CO., LTD.",2024-07-02
.day,generic,Charleston Road Registry Inc.,2024-07-02
.dclk,generic,Charleston Road Registry Inc.,2024-07-02
.deals,generic,"Sand Sunset, LLC",2024-07-02
.degree,generic,"United TLD Holdco, Ltd",2024-07-02
.delivery,generic,"Steel Station, LLC",2024-07-02
.democrat,generic,United TLD Holdco Ltd.,2024-07-02
.dental,generic,"Tin Birch, LLC",2024-07-02
.dentist,generic,"United TLD Holdco, Ltd",2024-07-02
.desi,generic,Desi Networks LLC,2024-07-02
.design,generic,"Top Level Design, LLC",2024-07-02
.dev,generic,Charleston Road Registry Inc.,2024-07-02
.diamonds,generic,"John Edge, LLC",2024-07-02
.diet,generic,"Uniregistry, Corp.",2024-07-02
.digital,generic,"Dash Park, LLC",2024-07-02
.direct,generic,"Half Trail, LLC",2024-07-02
.directory,generic,"Extra Madison, LLC",2024-07-02
.discount,generic,"Holly Hill, LLC",2024-07-02
.dnp,generic,"Dai Nippon Printing Co., Ltd.",2024-07-02
.docs,generic,Charleston Road Registry Inc.,2024-07-02
.doha,generic,Communications Regulatory Authority (CRA),2024-07-02
.domains,generic,"Sugar Cross, LLC",2024-07-02
.doosan,generic,Doosan Corporation,2024-07-02
.download,generic,dot Support Limited,2024-07-02
.durban,generic,ZA Central Registry NPC trading as ZA Central Registry,2024-07-02
.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2024-07-02
.eat,generic,Charleston Road Registry Inc.,2024-07-02
.education,generic,"Brice Way, LLC",2024-07-02
.email,generic,"Spring Madison, LLC",2024-07-02
.emerck,generic,Merck KGaA,2024-07-02
.energy,generic,"Binky Birch, LLC",2024-07-02
.engineer,generic,United TLD Holdco Ltd.,2024-07-02
.engineering,generic,Romeo Canyon,2024-07-02
.enterprises,generic,"Snow Oaks, LLC",2024-07-02
.epson,generic,Seiko Epson Corporation,2024-07-02
.equipment,generic,"Corn Station, LLC",2024-07-02
.erni,generic,ERNI Group Holding AG,2024-07-02
.esq,generic,Charleston Road Registry Inc.,2024-07-02
.estate,generic,"Trixy Park, LLC",2024-07-02
.eurovision,generic,European Broadcasting Union (EBU),2024-07-02
.eus,generic,Puntueus Fundazioa,2024-07-02
.events,generic,"Pioneer Maple, LLC",2024-07-02
.everbank,generic,EverBank,2024-07-02
.exchange,generic,"Spring Falls, LLC",2024-07-02
.expert,generic,"Magic Pass, LLC",2024-07-02
.exposed,generic,"Victor Beach, LLC",2024-07-02
.express,generic,"Sea Sunset, LLC",2024-07-02
.fail,generic,"Atomic Pipe, LLC",2024-07-02
.faith,generic,dot Faith Limited,2024-07-02
.fan,generic,Asiamix Digital Ltd,2024-07-02
.fans,generic,Asiamix Digital Limited,2024-07-02
.farm,generic,"Just Maple, LLC",2024-07-02
