Domain,Type,Sponsoring Organisation,Date
.trading,generic,DOTTRADING REGISTRY LTD,2024-07-02
.training,generic,"Wild Willow, LLC",2024-07-02
.trust,generic,Artemis Internet Inc,2024-07-02
.tui,generic,TUI AG,2024-07-02
.university,generic,"Little Station, LLC",2024-07-02
.uno,generic,Dot Latin LLC,2024-07-02
.uol,generic,UBN INTERNET LTDA.,2024-07-02
.vacations,generic,"Atomic Tigers, LLC",2024-07-02
.vegas,generic,"Dot Vegas, Inc.",2024-07-02
.ventures,generic,"Binky Lake, LLC",2024-07-02
.versicherung,generic,dotversicherung-registry GmbH,2024-07-02
.vet,generic,"United TLD Holdco, Ltd",2024-07-02
.viajes,generic,"Black Madison, LLC",2024-07-02
.video,generic,"United TLD Holdco, Ltd",2024-07-02
.villas,generic,"New Sky, LLC",2024-07-02
.vision,generic,"Koko Station, LLC",2024-07-02
.vlaanderen,generic,DNS.be vzw,2024-07-02
.vodka,generic,Top Level Domain Holdings Limited,2024-07-02
.vote,generic,Monolith Registry LLC,2024-07-02
.voting,generic,Valuetainment Corp.,2024-07-02
.voto,generic,Monolith Registry LLC,2024-07-02
.voyage,generic,"Ruby House, LLC",2024-07-02
.wales,generic,Nominet UK,2024-07-02
.wang,generic,Zodiac Registry Limited,2024-07-02
.watch,generic,"Sand Shadow, LLC",2024-07-02
.webcam,generic,dot Webcam Limited,2024-07-02
.website,generic,DotWebsite Inc.,2024-07-02
.wed,generic,"Atgron, Inc.",2024-07-02
.wedding,generic,Top Level Domain Holdings Limited,2024-07-02
.whoswho,generic,Who's Who Registry,2024-07-02
.wien,generic,punkt.wien GmbH,2024-07-02
.wiki,generic,"Top Level Design, LLC",2024-07-02
.williamhill,generic,William Hill Organization Limited,2024-07-02
.win,generic,First Registry Limited,2024-07-02
.wme,generic,"William Morris Endeavor Entertainment, LLC",2024-07-02
.work,generic,Top Level Domain Holdings Limited,2024-07-02
.works,generic,"Little Dynamite, LLC",2024-07-02
.world,generic,"Bitter Fields, LLC",2024-07-02
.wtc,generic,"World Trade Centers Association, Inc.",2024-07-02
.wtf,generic,"Hidden Way, LLC",2024-07-02
.xin,generic,Elegant Leader Limited,2024-07-02
.佛山,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2024-07-02
.慈善,generic,Excellent First Limited,2024-07-02
.集团,generic,Eagle Horizon Limited,2024-07-02
.在线,generic,TLD REGISTRY LIMITED,2024-07-02
.八卦,generic,Zodiac Scorpio Limited,2024-07-02
.موقع,generic,Suhub Electronic Establishment,2024-07-02
.公益,generic,China Organizational Name Administration Center,2024-07-02
.公司,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2024-07-02
.移动,generic,Afilias Limited,2024-07-02
.我爱你,generic,Tycoon Treasure Limited,2024-07-02
.москва,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2024-07-02
.онлайн,generic,CORE Association,2024-07-02
.сайт,generic,CORE Association,2024-07-02
.时尚,generic,RISE VICTORY LIMITED,2024-07-02
.淡马锡,generic,Temasek Holdings (Private) Limited,2024-07-02
.орг,generic,Public Interest Registry,2024-07-02
.삼성,generic,"SAMSUNG SDS CO., LTD",2024-07-02
.商标,generic,HU YI GLOBAL INFORMATION RESOURCES(HOLDING) COMPANY.HONGKONG LIMITED,2024-07-02
.商店,generic,"Wild Island, LLC",2024-07-02
.商城,generic,Zodiac Aquarius Limited,2024-07-02
.дети,generic,The Foundation for Network Initiatives “The Smart Internet”,2024-07-02
.中文网,generic,TLD REGISTRY LIMITED,2024-07-02
.中信,generic,CITIC Group Corporation,2024-07-02
.谷歌,generic,Charleston Road Registry Inc.,2024-07-02
.网店,generic,Zodiac Libra Limited,2024-07-02
.संगठन,generic,Public Interest Registry,2024-07-02
.网络,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2024-07-02
.飞利浦,generic,Koninklijke Philips N.V.,2024-07-02
.手机,generic,"Beijing RITT-Net Technology Development Co., Ltd",2024-07-02
.بازار,generic,CORE Association,2024-07-02
.政府,generic,"Net-Chinese Co., Ltd.",2024-07-02
.شبكة,generic,International Domain Registry Pty. Ltd.,2024-07-02
.机构,generic,Public Interest Registry,2024-07-02
.组织机构,generic,Public Interest Registry,2024-07-02
.健康,generic,Stable Tone Limited,2024-07-02
.рус,generic,Rusnames Limited,2024-07-02
.みんな,generic,Charleston Road Registry Inc.,2024-07-02
.グーグル,generic,Charleston Road Registry Inc.,2024-07-02
.世界,generic,Stable Tone Limited,2024-07-02
.网址,generic,"KNET Co., Ltd",2024-07-02
.游戏,generic,"Spring Fields, LLC",2024-07-02
.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2024-07-02
.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2024-07-02
.企业,generic,"Dash McCook, LLC",2024-07-02
.信息,generic,"Beijing Tele-info Network Technology Co., Ltd.",2024-07-02
.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2024-07-02
.政务,generic,China Organizational Name Administration Center,2024-07-02
.xyz,generic,XYZ.COM LLC,2024-07-02
.yachts,generic,"DERYachts, LLC",2024-07-02
.yandex,generic,"YANDEX, LLC",2024-07-02
.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD.",2024-07-02
.yoga,generic,Top Level Domain Holdings Limited,2024-07-02
.yokohama,generic,"GMO Registry, Inc.",2024-07-02
.youtube,generic,Charleston Road Registry Inc.,2024-07-02
.zip,generic,Charleston Road Registry Inc.,2024-07-02
.zone,generic,"Outer Falls, LLC",2024-07-02
.zuerich,generic,Kanton Zürich (Canton of Zurich),2024-07-02
